[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Loading dataset:   3%|████▎                                                                                                                                                     | 13/465 [00:00<00:03, 125.70it/s]
GPU ID:  0

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:03<00:00, 123.03it/s]

Loading dataset:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                      | 396/465 [00:02<00:00, 163.51it/s]
eta: 0:11:20  epoch: 1  step: 1001  rgb_loss: 0.1306  depth_loss: 0.0507  joint_loss: 0.0767  cross_entropy_loss: 0.8593  eikonal_loss: 0.0747  loss: 0.6223  beta: 0.0413  theta: 0.0000  data: 0.0163  batch: 0.6814  lr: 0.000477  max_mem: 9152

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:02<00:00, 166.21it/s]
eta: 0:10:49  epoch: 1  step: 1003  rgb_loss: 0.1603  depth_loss: 0.0664  joint_loss: 0.1843  cross_entropy_loss: 0.8506  eikonal_loss: 0.1124  loss: 0.6724  beta: 0.0413  theta: -0.0005  data: 0.0156  batch: 0.6516  lr: 0.000477  max_mem: 9184
eta: 0:10:43  epoch: 1  step: 1004  rgb_loss: 0.1522  depth_loss: 0.0831  joint_loss: 0.1472  cross_entropy_loss: 0.8545  eikonal_loss: 0.1022  loss: 0.6801  beta: 0.0413  theta: -0.0007  data: 0.0154  batch: 0.6465  lr: 0.000477  max_mem: 9185
eta: 0:10:40  epoch: 1  step: 1005  rgb_loss: 0.1460  depth_loss: 0.0805  joint_loss: 0.1677  cross_entropy_loss: 0.8516  eikonal_loss: 0.1156  loss: 0.6722  beta: 0.0413  theta: -0.0009  data: 0.0153  batch: 0.6441  lr: 0.000477  max_mem: 9185
eta: 0:10:38  epoch: 1  step: 1006  rgb_loss: 0.1447  depth_loss: 0.0863  joint_loss: 0.1429  cross_entropy_loss: 0.8515  eikonal_loss: 0.1419  loss: 0.6781  beta: 0.0413  theta: -0.0011  data: 0.0153  batch: 0.6420  lr: 0.000477  max_mem: 9185
eta: 0:10:36  epoch: 1  step: 1007  rgb_loss: 0.1491  depth_loss: 0.0978  joint_loss: 0.1528  cross_entropy_loss: 0.8228  eikonal_loss: 0.1350  loss: 0.6795  beta: 0.0413  theta: -0.0013  data: 0.0152  batch: 0.6408  lr: 0.000477  max_mem: 9185
eta: 0:10:34  epoch: 1  step: 1008  rgb_loss: 0.1552  depth_loss: 0.1048  joint_loss: 0.1618  cross_entropy_loss: 0.8045  eikonal_loss: 0.1251  loss: 0.6829  beta: 0.0413  theta: -0.0015  data: 0.0152  batch: 0.6397  lr: 0.000477  max_mem: 9186
eta: 0:10:33  epoch: 1  step: 1009  rgb_loss: 0.1551  depth_loss: 0.1020  joint_loss: 0.1625  cross_entropy_loss: 0.8102  eikonal_loss: 0.1170  loss: 0.6820  beta: 0.0413  theta: -0.0016  data: 0.0153  batch: 0.6393  lr: 0.000477  max_mem: 9186
eta: 0:10:32  epoch: 1  step: 1010  rgb_loss: 0.1524  depth_loss: 0.1059  joint_loss: 0.1841  cross_entropy_loss: 0.8053  eikonal_loss: 0.1252  loss: 0.6827  beta: 0.0413  theta: -0.0017  data: 0.0152  batch: 0.6388  lr: 0.000477  max_mem: 9188
